Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs,
Short_Fractals1&3_Harmer_um028_2019-02-12T11-49-50-313Z.mat,43.77763355,50.28364082,0,0.04561,0.04538,0.03556,0.95462,0.91883,1.69185,2.09215,3.1178,4.1508,1,1,43.77763355,48.69786904,12/02/2019
Short_Fractals1&3_Harmer_trd016_2019-02-14T15-17-54-387Z.mat,25.97914065,96.25449293,0,0.102821053,0.00429,0.038326316,0.99571,0.858852632,1.27335,2.443842105,3.2245,4.371368421,1,0.95,25.97914065,53.16154945,14/02/2019
Short_Fractals1&3_Harmer_trd015_2019-02-18T15-10-14-150Z.mat,49.9861633,222.3376128,0,0.320533333,0.03841,0.162811111,0.96159,0.516655556,1.0797,1.564555556,2.69465,3.191166667,1,0.9,49.9861633,94.65469245,18/02/2019
Short_Fractals1&3_Harmer_umd031_2019-02-20T15-50-26-452Z.mat,30.42372819,125.1812769,0,0.12049,0,0.07206,1,0.80745,1.2783,2.10545,2.8063,3.754,1,1,30.42372819,80.36672379,20/02/2019
Short_Fractals1&3_Harmer_trd017_2019-02-28T14-57-51-180Z.mat,33.095567,148.1772173,0,0.224978947,0.118242105,0.152947368,0.881757895,0.622073684,0.859473684,1.290263158,2.758315789,3.238473684,0.95,0.95,33.095567,45.69214558,28/02/2019
Short_Fractals1&3_Harmer_trd021_2019-03-04T15-07-32-230Z.mat,25.60785874,65.4893195,0,0.05,0.02505,0.04411,0.97495,0.90589,0.75555,1.55445,1.79015,2.9655,1,1,25.60785874,47.86231162,04/03/2019
Short_Fractals1&3_Harmer_umd035_2019-03-12T09-03-12-441Z.mat,33.0129561,122.080125,0,0.131633333,0.05908,0.109566667,0.94092,0.7588,0.8756,2.016611111,2.2822,4.445777778,1,0.9,33.0129561,54.04243407,12/03/2019
Short_Fractals1&3_Harmer_Murphy_117_2019-03-13T17-24-23-775Z.mat,39.04075067,93.51724682,0,0.194844444,0.09344,0.112088889,0.90656,0.693066667,1.01305,2.072388889,2.83705,4.200555556,1,0.9,39.04075067,46.84855583,13/03/2019
Short_Fractals1&3_Harmer_Murphy_123_2019-03-13T15-35-20-932Z.mat,36.63366815,108.9089358,0,0.0953,0.0408,0.05667,0.9592,0.84803,1.14065,2.16265,2.4758,4.0527,1,1,36.63366815,51.50195905,13/03/2019
Short_Fractals1&3_Harmer_trd023_2019-03-14T14-34-20-303Z.mat,43.86924751,98.75666472,0,0.191977778,0.03141,0.090533333,0.96859,0.717488889,1.16935,2.069277778,3.57505,4.728444444,1,0.9,43.86924751,59.70300854,14/03/2019
Short_Fractals1&3_Harmer_trd018_2019-03-20T11-26-11-987Z.mat,20.69840072,191.4511588,0,0.2222,0.02551,0.147357895,0.97449,0.630442105,0.9466,1.680210526,2.1304,2.737894737,1,0.95,20.69840072,71.43680592,20/03/2019
Short_Fractals1&3_Harmer_umd039_2019-03-21T09-34-28-910Z.mat,45.26942058,150.6583381,0,0.166752941,0.142744444,0.223270588,0.857255556,0.609976471,1.064,1.991764706,3.320777778,4.290823529,0.9,0.85,45.26942058,70.28847306,21/03/2019
Short_Fractals1&3_Harmer_UCB2_001_2019-03-26T10-59-14-752Z.mat,48.38490334,136.5650308,0,0.180389474,0.02825,0.129242105,0.97175,0.690368421,1.4216,3.434105263,3.0318,5.292526316,1,0.95,48.38490334,72.86706463,26/03/2019
Short_Fractals1&3_Harmer_124_2019-03-28T10-49-26-746Z.mat,34.16869966,78.68509472,0,0.138388889,0.03281,0.113588889,0.96719,0.748022222,0.9205,2.025,2.43875,3.862333333,1,0.9,34.16869966,61.40241585,28/03/2019
Short_Fractals1&3_Harmer_TRD024_2019-03-28T14-37-56-517Z.mat,40.97193653,139.1757657,0,0.267378947,0.074873684,0.110463158,0.925126316,0.622157895,1.352736842,2.549105263,3.059894737,4.055105263,0.95,0.95,40.97193653,52.55906705,28/03/2019
Short_Fractals1&3_Harmer_UCB2_002_2019-04-01T10-05-53-091Z.mat,50.61193142,184.9164928,0,0.23956,0.216673684,0.212533333,0.783326316,0.547906667,2.134157895,2.652866667,6.413,7.7662,0.95,0.75,50.61193142,57.9941108,01/04/2019
Short_Fractals1&3_Harmer_Murphy_118_2019-04-02T13-43-54-266Z.mat,27.72606043,127.3353183,0,0.1732375,0.05999,0.179075,0.94001,0.6476875,1.16595,2.5131875,2.64855,4.0301875,1,0.8,27.72606043,60.09328355,02/04/2019
Short_Fractals1&3_Harmer_trd019_2019-04-02T09-52-46-051Z.mat,40.11747794,123.3321643,0,0.145357895,0.023888889,0.061052632,0.976111111,0.793589474,1.221055556,2.336684211,2.823388889,4.295421053,0.9,0.95,40.11747794,53.00686063,02/04/2019
Short_Fractals1&3_Harmer_TRD022_2019-04-04T13-36-57-589Z.mat,33.84306936,87.85739227,0,0.106033333,0.02338,0.064133333,0.97662,0.829833333,0.95645,2.042777778,2.4007,4.035666667,1,0.9,33.84306936,56.31726089,04/04/2019
Short_Fractals1&3_Harmer_UCB2_004_2019-04-04T10-30-34-547Z.mat,89.72962383,208.0862461,0,0.239826667,0.290989474,0.330253333,0.709010526,0.42992,2.945526316,4.174533333,8.907421053,10.0708,0.95,0.75,89.72962383,98.20335075,04/04/2019
Short_Fractals1&3_Harmer_umd012_2019-04-08T09-08-29-154Z.mat,43.91900188,115.2708455,0,0.152211111,0.08658,0.102588889,0.91342,0.7452,0.88925,2.130333333,2.1185,3.484611111,1,0.9,43.91900188,51.60697491,08/04/2019
Short_Fractals1&3_Harmer_TRD027_2019-04-15T14-05-11-376Z.mat,35.86507923,87.76628837,0,0.052631579,0.005063158,0.041221053,0.994936842,0.906147368,0.899578947,2.057052632,2.264315789,3.647578947,0.95,0.95,35.86507923,55.41277536,15/04/2019
Short_Fractals1&3_Harmer_UCB2_001-2_2019-04-15T09-55-16-877Z.mat,48.26245109,212.3564173,0,0.270652632,0.198094737,0.237178947,0.801905263,0.492168421,1.252631579,3.013315789,2.822,4.849631579,0.95,0.95,48.26245109,63.45942832,15/04/2019
Short_Fractals1&3_Harmer_UCB2_002-RV2-secondattempt_2019-04-17T09-58-47-552Z.mat,42.2986874,232.4024134,0,0.361426667,0.15008,0.273333333,0.84992,0.36524,1.67875,2.7422,5.28765,6.4956,1,0.75,42.2986874,66.8630097,17/04/2019
Short_Fractals1&3_Harmer_umd044_2019-04-18T13-19-52-974Z.mat,21.09831383,129.7982934,0,0.18593,0.04071,0.0907,0.95929,0.72337,1.1944,2.2611,3.11025,3.9786,1,1,21.09831383,36.93893801,18/04/2019
Short_Fractals1&3_Harmer_UCB2_004-2_2019-04-25T10-03-32-066Z.mat,84.20521746,203.1742371,0,0.329242857,0.310157895,0.355142857,0.689842105,0.315614286,1.555894737,2.392214286,4.888789474,5.436,0.95,0.7,84.20521746,99.39060894,25/04/2019
Short_Fractals1&3_Harmer_Murphy_125_2019-04-26T16-27-33-722Z.mat,74.34019618,95.41089443,0,0.143210526,0.157368421,0.110378947,0.842631579,0.746410526,1.219789474,2.415947368,3.081052632,4.383578947,0.95,0.95,74.34019618,52.87157219,26/04/2019
Short_Fractals1&3_Harmer_UCB2_008-2_2019-04-30T08-15-27-381Z.mat,41.60930882,124.6399001,0,0.197066667,0.03898,0.078188889,0.96102,0.724744444,1.34875,2.286,3.8167,4.873555556,1,0.9,41.60930882,60.92030816,30/04/2019
Short_Fractals1&3_Harmer_Murphy_231_2019-05-01T12-51-45-881Z.mat,41.98409793,184.6324343,0,0.241922222,0.093955556,0.197577778,0.906044444,0.5605,1.664555556,1.615222222,2.833055556,2.839944444,0.9,0.9,41.98409793,78.2637918,01/05/2019
Short_Fractals1&3_Harmer_UCB2_009-1_2019-05-01T08-49-37-498Z.mat,43.18375259,109.4331877,0,0.129515789,0.06895,0.135831579,0.93105,0.734652632,1.02745,2.428315789,2.96975,5.260368421,1,0.95,43.18375259,75.18498659,01/05/2019
Short_Fractals1&3_Harmer_UCB2_010_2019-05-02T08-06-21-608Z.mat,44.50423046,121.1772964,0,0.127042857,0.1093,0.1941,0.8907,0.678857143,1.016166667,1.8285,3.302611111,4.032857143,0.9,0.7,44.50423046,67.0626492,02/05/2019
Short_Fractals1&3_Harmer_UCB2_013_1_2019-05-07T10-41-57-712Z.mat,43.47843668,176.0562877,0,0.32756,0.12321,0.13256,0.87679,0.53988,1.27575,2.240733333,4.829,6.543933333,1,0.75,43.47843668,48.59730304,07/05/2019
Short_Fractals1&3_Harmer_Murphy_230_2019-05-09T14-34-30-754Z.mat,49.13230325,122.8377827,0,0.222421053,0.22696,0.181147368,0.77304,0.596431579,0.9824,2.060263158,2.23465,3.401473684,1,0.95,49.13230325,37.27661584,09/05/2019
Short_Fractals1&3_Harmer_UCB2_011_2019-05-09T10-07-05-331Z.mat,43.46900922,138.8372435,0,0.27675,0.03364,0.0849375,0.96636,0.6383125,1.79705,3.371625,4.0756,5.9579375,1,0.8,43.46900922,66.53805793,09/05/2019
Short_Fractals1&3_Harmer_UCB2_018_2019-05-10T09-59-08-358Z.mat,51.1949676,147.9825923,0,0.227488889,0.19006,0.252244444,0.80994,0.520266667,1.3646,2.474388889,4.02705,5.202722222,1,0.9,51.1949676,69.51353147,10/05/2019
Short_Fractals1&3_Harmer_UCB2_008_2_2019-05-14T08-35-22-636Z.mat,39.42087645,102.6769103,0,0.102810526,0.06838,0.113957895,0.93162,0.783231579,1.3758,2.851631579,3.53775,4.832894737,1,0.95,39.42087645,66.07904837,14/05/2019
Short_Fractals1&3_Harmer_UCB2_007_1_2019-05-15T09-43-42-827Z.mat,34.84169003,98.87524169,0,0.1493,0.07635,0.108466667,0.92365,0.742233333,1.09455,1.886388889,4.4402,5.959444444,1,0.9,34.84169003,49.01694888,15/05/2019
Short_Fractals1&3_Harmer_UCB2_023_1_2019-05-16T09-37-27-766Z.mat,54.47163763,171.6457856,0,0.2475,0.113442105,0.188944444,0.886557895,0.563555556,1.152789474,3.159888889,3.195736842,6.539277778,0.95,0.9,54.47163763,81.78866852,16/05/2019
Short_Fractals1&3_Harmer_UCB2_10-2_2019-05-16T08-07-11-757Z.mat,31.97336356,66.85528891,0,0.09579,0.05454,0.07975,0.94546,0.82446,1.0805,1.83715,3.12755,3.89545,1,1,31.97336356,43.99217221,16/05/2019
Short_Fractals1&3_Harmer_Murphy_127_2019-05-17T15-40-28-194Z.mat,38.01632479,79.78260312,0,0.058823529,0.04101,0.049388235,0.95899,0.891788235,1.9893,3.017294118,6.81385,8.444529412,1,0.85,38.01632479,47.01644065,17/05/2019
Short_Fractals1&3_Harmer_Murphy_232_2019-05-17T12-47-33-573Z.mat,48.66618982,97.4837995,0,0.096084211,0.108694737,0.160326316,0.891305263,0.743589474,1.341631579,2.670789474,3.090157895,4.541842105,0.95,0.95,48.66618982,69.25010401,17/05/2019
Short_Fractals1&3_Harmer_UCB2_009_2_2019-05-17T08-49-12-912Z.mat,67.92839672,84.66429382,0,0.088031579,0.0986,0.101,0.9014,0.810968421,1.9668,1.724789474,3.8846,3.704473684,1,0.95,67.92839672,58.23272692,17/05/2019
Short_Fractals1&3_Harmer_umd050_2019-05-17T09-43-07-533Z.mat,55.34373061,75.48901673,0,0,0.0973,0.185533333,0.9027,0.814466667,1.1743125,1.069733333,2.4475625,2.3006,0.8,0.75,55.34373061,75.48901673,17/05/2019
Short_Fractals1&3_Harmer_UCB2_017_1_2019-05-21T10-06-53-492Z.mat,94.47283572,209.3519717,0,0.358566667,0.30338,0.117944444,0.69662,0.523488889,1.34075,2.2525,3.924,4.490888889,1,0.9,94.47283572,53.59435465,21/05/2019
Short_Fractals1&3_Harmer_UCB2_012-1_2019-05-22T08-58-04-922Z.mat,28.80446386,92.03066246,0,0.155,0.03867,0.080129412,0.96133,0.764870588,1.35955,1.946823529,4.06225,5.388,1,0.85,28.80446386,50.36591633,22/05/2019
Short_Fractals1&3_Harmer_UCB2_020-1_2019-05-22T09-30-03-905Z.mat,49.35318865,203.1209267,0,0.285136842,0.1022,0.207263158,0.8978,0.5076,1.79975,2.663368421,3.69665,4.747842105,1,0.95,49.35318865,77.17863218,22/05/2019
Short_Fractals1&3_Harmer_UCB2_011-2_2019-05-23T10-56-48-602Z.mat,118.622231,218.7610466,0,0.347482353,0.231894737,0.270541176,0.768105263,0.381976471,3.945789474,3.056470588,6.622473684,5.989823529,0.95,0.85,118.622231,108.8497292,23/05/2019
