Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs
Short_Fractals1&3_Harmer_fencogp040v1_2022-04-28T10-58-58-490Z.mat,35.96861347,121.7458513,0,0.182488889,0.059221053,0.186611111,0.940778947,0.6309,1.037736842,1.386777778,2.207421053,2.7955,0.95,0.9,35.96861347,69.27448077
Short_Fractals1&3_Harmer_fencogp040v2_2022-05-05T11-40-32-530Z.mat,39.64630855,90.06802001,0,0.1414,0.076263158,0.109494737,0.923736842,0.749105263,0.890105263,1.924578947,2.191315789,3.109052632,0.95,0.95,39.64630855,49.23317229
Short_Fractals1&3_Harmer_fencogp041v1_2022-05-09T11-25-35-381Z.mat,19.54508498,76.66348851,0,0.09087,0.021705263,0.08402,0.978294737,0.82511,0.873631579,2.50505,2.614736842,4.7128,0.95,1,19.54508498,50.0703323
Short_Fractals1&3_Harmer_fencogp041v2_2022-05-16T12-01-11-375Z.mat,24.54395268,77.32734828,0,0.0978,0,0.03697,1,0.86523,0.69845,2.8817,2.24085,4.62895,1,1,24.54395268,46.50853765
Short_Fractals1&3_Harmer_fencogp042v1_2022-05-10T11-01-05-632Z.mat,60.07575296,163.2804206,0,0.256633333,0.182978947,0.238922222,0.817021053,0.504444444,0.761421053,1.672388889,2.378263158,3.400666667,0.95,0.9,60.07575296,78.56372077
Short_Fractals1&3_Harmer_fencogp042v2_2022-05-17T11-29-02-809Z.mat,49.48752908,127.4077573,0,0.262366667,0.0914,0.1401,0.9086,0.597533333,0.7853,1.552,2.2801,3.232055556,1,0.9,49.48752908,62.62474934
Short_Fractals1&3_Harmer_fencogp043v1_2022-05-12T11-10-54-108Z.mat,46.64184485,147.9098076,0,0.182326316,0.11875,0.121968421,0.88125,0.695705263,0.9409,3.256210526,2.449,5.097105263,1,0.95,46.64184485,49.70460394
Short_Fractals1&3_Harmer_fencogp043v2_2022-05-19T11-53-10-195Z.mat,40.89664081,76.25634643,0,0.05,0.02724,0.02451,0.97276,0.92549,1.1775,2.37425,2.5051,3.8169,1,1,40.89664081,41.88541274
Short_Fractals1&3_Harmer_fencogp044v2_2022-05-18T10-45-06-901Z.mat,72.6324129,222.1661241,0,0.333635294,0.289526316,0.306058824,0.710473684,0.360305882,0.932157895,1.645823529,2.175947368,2.989294118,0.95,0.85,72.6324129,70.72331052
Short_Fractals1&3_Harmer_fencogp044v2_2022-05-25T11-43-51-256Z.mat,55.15089454,127.3029981,0,0.093378947,0.08307,0.116947368,0.91693,0.789673684,0.76755,1.801157895,1.67705,2.766315789,1,0.95,55.15089454,74.08234994
Short_Fractals1&3_Harmer_fencogp045v2_2022-05-30T11-46-04-746Z.mat,33.63131298,149.9483948,0,0.219336842,0.05685,0.099294737,0.94315,0.681368421,0.98195,2.332894737,2.9592,5.539684211,1,0.95,33.63131298,50.06626325
Short_Fractals1&3_Harmer_fencogp046v1_2022-05-24T11-06-06-620Z.mat,46.16569702,64.10568039,0,0.09778,0.07484,0.06602,0.92516,0.8362,0.92385,2.1373,2.7915,4.4104,1,1,46.16569702,42.54521603
Short_Fractals1&3_Harmer_fencogp046v2_2022-06-01T11-30-55-254Z.mat,36.35935129,37.44900907,0,0,0.02617,0.02534,0.97383,0.97466,0.7528,1.31225,2.29645,2.82635,1,1,36.35935129,37.44900907
Short_Fractals1&3_Harmer_fencogp047v1_2022-05-26T10-44-02-717Z.mat,61.50742876,183.0497482,0,0.242294737,0.2118,0.191673684,0.7882,0.566031579,1.043944444,1.836,2.964388889,3.793,0.9,0.95,61.50742876,63.28849222
Short_Fractals1&3_Harmer_fencogp047v2_2022-06-02T11-32-37-487Z.mat,48.44068846,234.8223077,0,0.297552941,0.20674,0.263164706,0.79326,0.439282353,0.83875,2.508058824,1.9326,3.593529412,1,0.85,48.44068846,63.42474463
Short_Fractals1&3_Harmer_fencogp048v1_2022-05-31T12-11-49-206Z.mat,26.74323586,76.59282492,0,0.047915789,0.00474,0.021231579,0.99526,0.930852632,0.86065,1.939842105,2.77195,4.055210526,1,0.95,26.74323586,44.41748057
Short_Fractals1&3_Harmer_fencogp048v2_2022-06-07T12-08-08-468Z.mat,28.59869964,74.1649285,0,0.047905263,0.038578947,0.069294737,0.961421053,0.8828,0.764052632,1.267578947,2.191368421,3.047842105,0.95,0.95,28.59869964,42.79570226
Short_Fractals1&3_Harmer_fencogp049v1_2022-06-06T10-26-05-284Z.mat,52.31297193,138.7605289,0,0.195144444,0.12866,0.139577778,0.87134,0.665277778,1.1097,2.927111111,2.7012,5.027777778,1,0.9,52.31297193,57.10204004
Short_Fractals1&3_Harmer_fencogp049v2_2022-06-13T13-32-33-245Z.mat,78.91704816,113.6779099,0,0.09754,0.059957895,0.03875,0.940042105,0.86371,1.250631579,1.70425,2.207157895,2.98115,0.95,1,78.91704816,79.45021073
Short_Fractals1&3_Harmer_fencogp050v1_2022-06-09T10-24-58-471Z.mat,42.04769752,59.13042227,0,0.04783,0.002368421,0.02411,0.997631579,0.92806,0.827578947,1.795,2.447894737,3.94495,0.95,1,42.04769752,58.74222738
Short_Fractals1&3_Harmer_fencogp050v2_2022-06-16T11-46-05-547Z.mat,35.43798903,57.47688668,0,0,0.00872,0.02541,0.99128,0.97459,0.94765,1.55455,2.2171,2.97315,1,1,35.43798903,57.47688668
Short_Fractals1&3_Harmer_fencogp051v1_2022-06-10T10-55-15-207Z.mat,40.79119707,196.1921065,0,0.30237,0.17372,0.15006,0.82628,0.54757,1.1155,1.7253,3.1306,3.8167,1,1,40.79119707,38.09153293
